"GO:0055114","oxidation-reduction process","biological_process","6138206"
"GO:0008152","metabolic process","biological_process","4232762"
"GO:0006810","transport","biological_process","1359241"
"GO:0009058","biosynthetic process","biological_process","1115327"
"GO:0006412","translation","biological_process","933259"
"GO:0006418","tRNA aminoacylation for protein translation","biological_process","872329"
"GO:0005975","carbohydrate metabolic process","biological_process","856229"
"GO:0006508","proteolysis","biological_process","751977"
"GO:0006355","regulation of transcription, DNA-dependent","biological_process","495274"
"GO:0006260","DNA replication","biological_process","456804"
"GO:0006351","transcription, DNA-dependent","biological_process","418686"
"GO:0006265","DNA topological change","biological_process","393230"
"GO:0055085","transmembrane transport","biological_process","390720"
"GO:0006281","DNA repair","biological_process","360463"
"GO:0006807","nitrogen compound metabolic process","biological_process","315629"
"GO:0006096","glycolysis","biological_process","305020"
"GO:0006520","cellular amino acid metabolic process","biological_process","275500"
"GO:0008033","tRNA processing","biological_process","267410"
"GO:0006310","DNA recombination","biological_process","232327"
"GO:0000105","histidine biosynthetic process","biological_process","228416"
"GO:0006457","protein folding","biological_process","218272"
"GO:0016310","phosphorylation","biological_process","172982"
"GO:0000160","two-component signal transduction system (phosphorelay)","biological_process","169590"
"GO:0006164","purine nucleotide biosynthetic process","biological_process","165022"
"GO:0009396","folic acid-containing compound biosynthetic process","biological_process","161166"
"GO:0043039","tRNA aminoacylation","biological_process","160378"
"GO:0006352","transcription initiation, DNA-dependent","biological_process","157268"
"GO:0009231","riboflavin biosynthetic process","biological_process","155826"
"GO:0006396","RNA processing","biological_process","153693"
"GO:0015992","proton transport","biological_process","148185"
"GO:0015986","ATP synthesis coupled proton transport","biological_process","146109"
"GO:0015031","protein transport","biological_process","144849"
"GO:0015074","DNA integration","biological_process","141844"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane","biological_process","129790"
"GO:0009245","lipid A biosynthetic process","biological_process","126355"
"GO:0033014","tetrapyrrole biosynthetic process","biological_process","124838"
"GO:0009073","aromatic amino acid family biosynthetic process","biological_process","117155"
"GO:0006094","gluconeogenesis","biological_process","117023"
"GO:0009451","RNA modification","biological_process","116408"
"GO:0006749","glutathione metabolic process","biological_process","115750"
"GO:0008616","queuosine biosynthetic process","biological_process","113279"
"GO:0045454","cell redox homeostasis","biological_process","112869"
"GO:0006139","nucleobase-containing compound metabolic process","biological_process","110249"
"GO:0051301","cell division","biological_process","108976"
"GO:0007165","signal transduction","biological_process","108313"
"GO:0006526","arginine biosynthetic process","biological_process","108253"
"GO:0006633","fatty acid biosynthetic process","biological_process","107432"
"GO:0009116","nucleoside metabolic process","biological_process","107261"
"GO:0016114","terpenoid biosynthetic process","biological_process","106168"
"GO:0016226","iron-sulfur cluster assembly","biological_process","104871"
"GO:0006099","tricarboxylic acid cycle","biological_process","102957"
"GO:0008299","isoprenoid biosynthetic process","biological_process","101656"
"GO:0006364","rRNA processing","biological_process","101201"
